option_type,expire_date,symbol,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
CALLS,2022-10-21,AMZN,AMZN221021C00052000,2022-10-21 18:11:42+00:00,52.0,66.75,66.85,67.0,2.3499985,3.649066,13.0,166.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00053000,2022-10-21 15:52:45+00:00,53.0,63.75,65.95,66.05,0.15000153,0.23585147,15.0,39.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00054000,2022-10-21 15:31:25+00:00,54.0,62.65,64.9,65.05,0.25,0.40064102,10.0,22.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00055000,2022-10-21 15:51:40+00:00,55.0,61.85,63.85,64.0,1.5999985,2.655599,2.0,72.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00056000,2022-10-21 13:36:20+00:00,56.0,59.35,62.85,63.0,2.25,3.9404554,1.0,26.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00057000,2022-10-21 15:52:45+00:00,57.0,59.75,61.95,62.05,3.0699997,5.416372,9.0,10.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00058000,2022-10-21 13:36:25+00:00,58.0,57.45,60.85,61.0,-0.70000076,-1.2037846,2.0,13.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00059000,2022-10-21 14:50:18+00:00,59.0,57.2,59.85,60.0,-0.29999924,-0.5217378,1.0,84.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00060000,2022-10-18 15:10:45+00:00,60.0,56.1,58.85,59.0,0.0,0.0,3.0,23.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00061000,2022-10-11 19:57:25+00:00,61.0,51.36,57.85,58.0,0.0,0.0,1.0,30.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00062000,2022-10-17 14:47:10+00:00,62.0,50.75,56.95,57.1,0.0,0.0,2.0,22.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00063000,2022-10-17 14:47:10+00:00,63.0,53.2,55.85,56.0,3.4500008,6.9346747,3.0,24.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00064000,2022-10-07 13:43:33+00:00,64.0,53.4,54.85,55.0,0.0,0.0,20.0,59.0,1.0000000000000003e-05,True,REGULAR,USD
